domain,stix_pattern,marking_type,marking_value,marking_priority
acheter-compte-snap.fr,[domain-name:value = 'acheter-compte-snap.fr'],TLP,TLP:CLEAR,1
allbirdsfr.fr,[domain-name:value = 'allbirdsfr.fr'],TLP,TLP:CLEAR,1
annonce28775-bon-coin.fr,[domain-name:value = 'annonce28775-bon-coin.fr'],TLP,TLP:CLEAR,1
casino-win-airlines.fr,[domain-name:value = 'casino-win-airlines.fr'],TLP,TLP:CLEAR,1
casinostake.fr,[domain-name:value = 'casinostake.fr'],TLP,TLP:CLEAR,1
ch-sedan.fr,[domain-name:value = 'ch-sedan.fr'],TLP,TLP:CLEAR,1
clim-prodestock.fr,[domain-name:value = 'clim-prodestock.fr'],TLP,TLP:CLEAR,1
confirmation-mon-rendez-vous-securise-leboncoin.fr,[domain-name:value = 'confirmation-mon-rendez-vous-securise-leboncoin.fr'],TLP,TLP:CLEAR,1
cooljet-fr.fr,[domain-name:value = 'cooljet-fr.fr'],TLP,TLP:CLEAR,1
cressuscassino.fr,[domain-name:value = 'cressuscassino.fr'],TLP,TLP:CLEAR,1
groupecasino1.fr,[domain-name:value = 'groupecasino1.fr'],TLP,TLP:CLEAR,1
isg-paris.fr,[domain-name:value = 'isg-paris.fr'],TLP,TLP:CLEAR,1
leon1.fr,[domain-name:value = 'leon1.fr'],TLP,TLP:CLEAR,1
leoncasinoleon.fr,[domain-name:value = 'leoncasinoleon.fr'],TLP,TLP:CLEAR,1
maillotnba.fr,[domain-name:value = 'maillotnba.fr'],TLP,TLP:CLEAR,1
moncreditlaposte.fr,[domain-name:value = 'moncreditlaposte.fr'],TLP,TLP:CLEAR,1
mondial-relais-colis.fr,[domain-name:value = 'mondial-relais-colis.fr'],TLP,TLP:CLEAR,1
serviceclientprime.fr,[domain-name:value = 'serviceclientprime.fr'],TLP,TLP:CLEAR,1
spinsycasinos.fr,[domain-name:value = 'spinsycasinos.fr'],TLP,TLP:CLEAR,1
tickets-celinedion.fr,[domain-name:value = 'tickets-celinedion.fr'],TLP,TLP:CLEAR,1
ugreenfrance.fr,[domain-name:value = 'ugreenfrance.fr'],TLP,TLP:CLEAR,1
univnime.fr,[domain-name:value = 'univnime.fr'],TLP,TLP:CLEAR,1
univnimes.fr,[domain-name:value = 'univnimes.fr'],TLP,TLP:CLEAR,1
wildzyfr.fr,[domain-name:value = 'wildzyfr.fr'],TLP,TLP:CLEAR,1
win-kingdom.fr,[domain-name:value = 'win-kingdom.fr'],TLP,TLP:CLEAR,1
winkingdom-fr.fr,[domain-name:value = 'winkingdom-fr.fr'],TLP,TLP:CLEAR,1
winouiwin.fr,[domain-name:value = 'winouiwin.fr'],TLP,TLP:CLEAR,1
x7casino1.fr,[domain-name:value = 'x7casino1.fr'],TLP,TLP:CLEAR,1
x7casinox7.fr,[domain-name:value = 'x7casinox7.fr'],TLP,TLP:CLEAR,1
xn--casinopriv-k7a.fr,[domain-name:value = 'xn--casinopriv-k7a.fr'],TLP,TLP:CLEAR,1
xn--privcasino-e7a.fr,[domain-name:value = 'xn--privcasino-e7a.fr'],TLP,TLP:CLEAR,1
